city,link,name
Paradise,http://www.paradisegem.org/,Paradise Gem & Mineral Club
Pasadena,http://www.pasadenalapidarysociety.org/,Pasadena Lapidary Society
Los Altos,http://pggs.org/,"Peninsula Gem & Geology Society, Inc."
Roseville,http://www.rockrollers.com/,Roseville Rock Rollers
Brea,http://www.route66goldminers.org/,Route 66 Gold Miners Inc
Sacramento,http://www.sacramentomineralsociety.org/,Sacramento Mineral Society
North Highlands,http://www.sacramentovalleydetectingbuffs.com/,Sacramento Valley Detecting Buffs
Salinas,https://salinasrockandgem.pagecloud.com/,Salinas Valley Rock and Gem Club
San Diego,http://www.sdmg.org/,San Diego Gem and Mineral Society
San Diego,http://sandiegolapidarysociety.org/,San Diego Lapidary Society
San Francisco,http://www.sfgms.org/,"San Francisco Gem and Mineral Society, Inc."
Bakersfield,http://sjvls.blogspot.com/,San Joaquin Valley Lapidary Society
San Luis Obispo,http://www.slogem.org/,San Luis Obispo Gem & Mineral Club
Santa Ana,http://www.sarmclub.org/,"Santa Ana Rock & Mineral Club, Inc."
San Jose,http://www.scvgms.org/,Santa Clara Valley Gem & Mineral Society
Santa Cruz,https://www.facebook.com/scmgs/,Santa Cruz Mineral and Gem Society
Paso Robles,http://www.slrockhounds.org/,Santa Lucia Rockhounds
Santa Rosa,http://www.srmgs.org/,"Santa Rosa Mineral And Gem Society, Inc."
Anaheim,https://www.searchersrocks.org/,Searchers Gem and Mineral Society
Trona,http://www1.iwvisp.com/tronagemclub/,"Searles Lake Gem and Mineral Society, Inc."
Redwood City,http://www.sequoiagemandmineralsociety.org/,Sequoia Gem and Mineral Society
Palm Springs,http://www.shadowmountaingemmineral.org/,Shadow Mountain Gem & Mineral Society
Redding,http://www.shastagemandmineral.com/,Shasta Gem & Mineral Society
Newhall,http://www.sierrapelona.com/,Sierra Pelona Rock Club
Torrance,https://southbaylapidaryandmineralsociety.com/,South Bay Lapidary & Mineral Society
San Clemente,https://www.facebook.com/South-Orange-County-Gem-Mineral-Society-255366124502612/,South Orange County Gem & Mineral Society
Los Angeles,http://socalpaleo.com/,Southern California Paleontological Society
Stockton,http://www.stocktonlapidary.com/,Stockton Lapidary & Mineral Club
Marysville,https://sutterbuttesgemmin.org/,Sutter Buttes Gem & Mineral Society
Tehachapi,http://www.tvgms.org/,Tehachapi Valley Gem & Mineral Society
Farmersville,http://www.tulegem.com/,Tule Gem and Mineral Society
Vallejo,http://www.vjgems.org/,Vallejo Gem & Mineral Society
San Bernardino,https://www.valleyprospectors.com/,"Valley Prospectors, Inc."
Ventura,http://vgms.org/,"Ventura Gem & Mineral Society, Inc"
Victorville,http://www.vvgmc.org/,Victor Valley Gem and Mineral Club
Vista,http://www.vistarocks.org/,Vista Gem & Mineral Society
Garden Grove,http://westcoasters.org/,West Coast Prospectors & Treasure Hunters Association
Norco,http://www.wepcgold.com,West End Prospectors Corporation
Whittier,http://wgmsca.com/index.html,"Whittier Gem and Mineral Society, Inc."
San Fernando Valley,http://www.rockchippers.org/,"Woodland Hills Rock Chippers, Inc."
Yucaipa,http://www.yvgms.org/wiki/,Yucaipa Valley Gem & Mineral Society
Canon City,http://www.canoncitygeologyclub.com/,Canon City Geology Club
Frisco,http://coloradogoldcamp.com/,Colorado Gold Camp
Lakewood,http://www.coloradomineralsociety.org/,Colorado Mineral Society
Alamosa,http://www.coloradoprospector.com/,Colorado Prospector
Colorado Springs,http://www.csms1936.com/,Colorado Springs Mineral Society
Salida,http://rockaholics.org/,Columbine Gem and Mineral Society
Denver,http://denvergem.org/index.html,Denver Gem and Mineral Guild
Boulder,http://flatironsmineralclub.org/,Flatirons Mineral Club
Fort Collins,http://www.fortcollinsrockhounds.org/,Fort Collins Rockhounds
Durango,http://www.durangorocks.org/,Four Corners Gem & Mineral Club
Denver,http://friendsofmineralogycolorado.org/,Friends of Mineralogy - Colorado Chapter 
Grand Junction,http://www.grandjunctionrockclub.org/,Grand Junction Gem & Mineral Club
Lake George,http://www.lggmclub.org/,Lake George Gem & Mineral club
Littleton,http://littletongemandmineralclub.com/,"Littleton Gem and Mineral Club, Inc."
Arvada,http://www.milehirams.com/,Mile High Rock and Mineral Society
Arvada,http://www.peaktopeak.com/njeffco/index.php,North Jeffco Gem & Mineral Club
Pueblo,http://www.pueblorockhounds.org/,Pueblo Rockhounds
Denver,http://www.westernpaleo.org/,Western Interior Paleontological Society
Bristol,http://bristolgem.org/,Bristol Gem & Mineral Club
Danbury,http://danburymineralogicalsociety.weebly.com/,Danbury Mineralogical Society
Meriden,http://www.lmscc.org/,Lapidary and Mineral Society of Central Connecticut
New Haven,http://www.newhavenmineralclub.org/,New Haven Mineral Club
Stamford,http://www.stamfordmineralsociety.org/,Stamford Mineralogical Society
Wilmington,http://www.delminsociety.net/,"Delaware Mineralogical Society, Inc."
Melbourne,http://www.canaveral-mgs.com/,Canaveral Mineral & Gem Society
Merritt Island,http://www.centralbrevardgems.org/,Central Brevard Rock and Gem Club
Winter Park,http://www.cfmgs.org/,Central Florida Mineral and Gem Society
Orlando,http://floridafossilhunters.com/,Florida Fossil Hunters
Hollywood,http://fgcgms.com/main/,Florida Gold Coast Gem & Mineral Society
Ft. Myers,http://www.fcolc.com/,Fossil Club of Lee County
Gainesville,http://gainesvillegms.weebly.com/,Gainesville Gem & Mineral Society
West Palm Beach,http://www.gemandmineralsociety.org/,Gem and Mineral Society of the Palm Beaches
Lakeland,http://www.bonevalley.net/,"Imperial Bone Valley Gem, Mineral, & Fossil Society"
Jacksonville,http://www.jaxgemandmineral.org/,"Jacksonville Gem and Mineral Society, Inc."
Miami,http://www.mmlg-inc.org/,"Miami Mineralogical and Lapidary Guild, Inc."
Ft. Walton Beach,http://playgroundgem.org/,Playground Gem and Mineral Society
Punta Gorda,http://www.southwestfloridafossilsociety.org/,Southwest Florida Fossil Society
Port St Lucie,http://www.slcrockandgem.org/,St Lucie County Rock and Gem Club
St Petersburg,http://sgams.com/,Suncoast Gem and Mineral Society
Palm Harbor,http://www.tampabayfossilclub.com/,Tampa Bay Fossil Club
Tampa,http://www.tampabayrockclub.com/,"Tampa Bay Mineral & Science Club, Inc."
The Villages,http://www.thevillagesgemandmineralsociety.com/,The Villages Gem and Mineral Society
Palm Coast,http://www.tomokafacetersguild.org/index.html,Tomoka Faceters Guild
Spring Hill,http://www.withlacoocheerockhounds.com/,Withlacoochee Rockhounds
Athens,http://www.athensrockandgemclub.org/,Athens Rock and Gem Club
Augusta,http://agams.club/,Augusta Gem & Mineral Society
Marietta,https://www.ccgms.org/,Cobb County Gem and Mineral Society
Norcross,http://www.gamineral.org/,"Georgia Mineral Society, Inc."
Macon,http://midgagmsorg.ipage.com/,Mid-Georgia Gem and Mineral Society
Rome,https://rogams.wordpress.com/,Rome Georgia Mineral Society Inc.
Honolulu,http://pohakugalore.net/Hui_pohaku/Hiu_pohaku_1.html,"Hui Pohaku 'O Hawai'i Rock & Mineral Society of Hawai'i, Inc."
Lewiston,http://www.hellscanyongemclub.com/,"Hells Canyon Gem Club, Inc."
Idaho Falls,http://ifgemmineral.weebly.com/,Idaho Falls Gem & Mineral Society
Boise,http://www.idahogemclub.com/,"Idaho Gem Club, Inc."
Twin Falls,http://magicvalleygemclub.org/,Magic Valley Gem Club
Coeur d'Alene,http://www.northidahomineralclub.com/,North Idaho Mineral Club
Caldwell,http://www.owyheerocks.com/,Owyhee Gem & Mineral Society
Oldtown,https://pendoreillerockandgemclub.wordpress.com/,Pend Oreille Rock and Gem Club
Boise,https://www.facebook.com/SEIGMS,Southeast Idaho Gem and Mineral Society
Rock Island,http://www.blackhawkgemandmineralclub.com/,Black Hawk Gem & Mineral Club
Decatur,http://rmkapta.wixsite.com/cigmc,Central Illinois Gem & Mineral Club
Skokie,http://www.chicagorocks.org/,Chicago Rocks & Minerals Society
Elgin,http://elginrockclub.org/,Elgin Rock Club
Macomb,http://www.geodeland.com/,"Geodeland Earth Science Clubs, Inc."
Springfield,http://www.loess.org/,Lincoln Orbit Earth Science Society
Chicago,http://www.mhrsusa.com/,Midwest Historical Research Society
Freeport,http://nwilrockclubfrpt.blogspot.com/,Northwest Illinois Rock Club
Peoria,http://www.pasgeology.com/,Peoria Academy of Science Geology Section
Benton,http://www.siesclub.org/,Southern Illinois Earth Science Club
Macomb,http://www.rockchatter.com/,West Central Illinois Rock & Mineral Club
Elmhurst,http://www.westsuburbanlapidaryclub.com/,West Suburban Lapidary Club
Indianapolis,http://www.500earthsciencesclub.org/,500 Earth Sciences Club
Nashville,http://browncountyrock.webs.com/,Brown County Rock and Mineral Club
Crown Point,https://www.facebook.com/calumetrockclub,Calumet Gem & Mineral Society
Evansville,http://evansvillelapidarysociety.tumblr.com/,Evansville Lapidary Society
Richmond,http://eiggs.weebly.com/,"Eastern Indiana Gem & Geological Society, Inc."
Bedford,http://www.lawrencecountyrockclub.org/,"Lawrence County Rock Club, Inc"
South Bend,http://www.michianagms.org/,"Michiana Gem & Mineral Society, Inc."
Fort Wayne,http://3riversgem_mineral.tripod.com/,Three Rivers Gem & Mineral Society
Cedar Rapids,http://www.cedarvalleyrockclub.org/,Cedar Valley Rocks and Minerals Society
Des Moines,http://dmlapidary.org/,Des Moines Lapidary Society
Mount Vernon,http://orgs.cornellcollege.edu/geo_club/,Geology Club @ Cornell College
Ames,https://www.facebook.com/ISUGEOCLUB/,Iowa State University Geology Club
Fort Dodge,http://amfed.org/mwf/states/Iowa/RiverValley.html,River Valley Rockhounds
Fairfield,http://members.iowatelecom.net/billrath/rock_club.html,The Sac & Fox Lapidary Club
Kansas City,http://olathegemclub.com/,Olathe Gem and Mineral Society
Topeka,http://www.topekagms.org/,Topeka Gem & Mineral Society
Wichita,http://www.wgmsks.org/,Wichita Gem and Mineral Society
Wichita,http://www.reocities.com/CapeCanaveral/Hangar/4265/home.html,Wichita Paleontological Society
Lexington,http://bggamc.homestead.com/,Blue Grass Gem & Mineral Club of Central Kentucky
Louisville,http://www.kyanageo.org/,KYANA Geological Society
Lexington,http://www.uky.edu/OtherOrgs/KPS/,Kentucky Paleontological Society
Shreveport,http://larockclub.com/,Ark-La-Tex Gem & Mineral Society
Baton Rouge,http://www.brgemandmineral.org/,Baton Rouge Gem & Mineral Society
Leesville,https://www.facebook.com/DeRidder-Gem-Mineral-Society-1123146734440993/,DeRidder Gem & Mineral Society
Winthrop,http://kennebec-rocksandminerals.com/,Kennebec Rocks and Minerals Club
Portland,http://mainemineralclub.org/,Maine Mineralogical & Geological Society
South Paris,http://ocmgassoc.blogspot.com/,Oxford County Mineral and Gem Association
Milford,http://penobscotminerallapidaryclub.com/index.html,Penobscot Mineral and Lapidary Club
Bowie,http://americanfossilfederation.org/Home.html,American Fossil Federation
Baltimore,http://www.baltimoremineralsociety.org/,Baltimore Mineral Society
Solomons,http://www.calvertmarinemuseum.com/209/Fossil-Club,Calvert Marine Museum Fossil Club
Elkridge,https://www.meetup.com/rockhounds/,Central Maryland Rock and Mineral Collectors Exchange
Baltimore,http://www.chesapeakegemandmineral.org/,Chesapeake Gem & Mineral Society
Baltimore,http://www.gemcuttersguild.com/,"Gem Cutters Guild of Baltimore, Inc."
Rockville,http://www.glmsmc.com/,"Gem, Lapidary, and Mineral Society of Montgomery County, MD., Inc."
Bowie,http://www.ecphora.net/mgs/,Maryland Geological Society
"Washington, DC",http://dcmicrominerals.org/,Micromineralogists of the National Capital Area
Annapolis,http://www.patuxentlapidary.org/,Patuxent Lapidary Guild
Clinton,http://www.smrmc.org/,Southern Maryland Rock and Mineral Club
"Washington, DC",http://www.mineralogicalsocietyofdc.org/,The Mineralogical Society of the District of Columbia
Boston,http://www.bostonmineralclub.org/,"Boston Mineral Club, Inc."
Springfield,http://www.cvmineralclub.org/,Connecticut Valley Mineral Club
Chemlsford,http://micromountersofnewengland.org/,Micromounters of New England
Westford,http://www.americantowns.com/ma/westford/organization/nashoba_valley_mineralogical_society,Nashoba Valley Mineralogical Society
South Hamilton,http://www.northshorerock.org/,North Shore Rock & Mineral Club of Massachusetts
North Adams,http://nbmclub.webs.com/,Northern Berkshire Mineral Club
Bridgewater,http://semmc.com/,Southeastern Massachusetts Mineral Club
Worcester,http://worcestermineralclub.org/,Worcester Mineral Club
Big Rapids,https://sites.google.com/site/bigrapidsrockgemmineralclub/,"Big Rapids Rock, Gem & Mineral Club"
Lansing,http://michrocks.org/,Central Michigan Lapidary and Mineral Society
Dollar Bay,http://www.ccrmc.info/,Copper Country Rock and Mineral Club
Flint,http://www.flintrockandgem.org/,Flint Rock and Gem Club
Traverse City,http://tcrockhounds.com/,Grand Traverse Area Rock and Mineral Club
Wyoming,http://www.indianmoundsrockclub.com/,Indian Mounds Rock & Mineral Club
Ishpeming,http://www.ishpemingrocks.org/,Ishpeming Rock and Mineral Club
Kalamazoo,http://kalamazoorockclub.org/,Kalamazoo Geological & Mineral Society
Howell,http://www.livingstongemandmineralsociety.com/,Livingston Gem & Mineral Society
Michigan Center,http://mgmsrockclub.com/,Michigan Gem & Mineral Society
Bloomfield Hills,https://www.michmin.org/,Michigan Mineralogical Society
Midland,http://www.midmichrockclub.com/?Page=1,Mid-Michigan Rock Club
Grand Rapids,http://www.midwestfaceters.org/,Midwest Faceters' Guild
Taylor,http://www.mmls.us/,Midwest Mineralological & Lapidary Society
Roscommon,http://mikenaukclub.weebly.com/,Mikenauk Rock and Gem Club
Mt. Clemens,http://mcgls.org/,Mount Clemens Gem & Lapidary Society
Waterford,http://www.ocesc.com/,Oakland County Earth Science Club
Livonia,https://roaminrockclub.weebly.com/,Roamin Club
Morenci,http://statelinegms.com/,StateLine Gem & Mineral Society
Holland,http://www.tulipcity.org/,"Tulip City Gem & Mineral Club, Inc."
Minneapolis,http://www.amfed.org/mwf/states/Minnesota/AnokaGem.html,Anoka County Gem & Mineral Club
Brainerd,http://cuyunarockclub.org/wp/,"Cuyuna Rock, Gem and Mineral Society"
Falcon Heights,http://minnesotamineralclub.org/,Minnesota Mineral Club
Mankato,http://www.mnvalleygemandmineralclub.com/,Minnesota Valley Gem & Mineral Club
Stillwater,http://stcroixrockhounds.org/,St Croix Rockhounds
Gulfport,http://www.gulfportgems.org/,"Harrison County Gem & Mineral Society, Inc."
Jackson,http://missgems.org/,Mississippi Gem & Mineral Society
Jackson,http://www.missgeo.com/,Mississippi Geological Society
Ocean Springs,http://www.mgcgms.org/,Mississippi Gulf Coast Gem and Mineral Society
Tupelo,http://www.nmgms.org/,North Mississippi Gem and Mineral Society
Columbia,http://www.cmrlc.org/,Central Missouri Rock and Lapidary Club
Independence,http://www.igams.co/,Independence Gem & Mineral Society
St. Joseph,http://www.movalleyrockclub.com/,Missouri Valley Gem & Mineral Society
Lincoln,http://www.mozarkite.com/,"Mozarkite Society of Lincoln, Inc."
Springfield,https://www.facebook.com/omgms.57,Ozark Mountain Gem & Mineral Society
St. Louis,xxxxxhttp://rockhobby.stlearthsci.org/Home.aspxxxxxx,Rock Hobby Club of Greater Saint Louis
St. Louis,http://rockwood.stlearthsci.org/,Rockwood Gem & Mineral Society
St. Louis,http://www.stlrockclub.com/,St. Louis Mineral & Gem Society
St. Peters,http://showme.stlearthsci.org/,"Show Me Gems & Minerals Club, Inc."
Kansas City,https://showmerockhounds.com/,Show-Me Rockhounds Kansas City
Billings,http://www.billingsgemclub.com/,"Billings Gem & Mineral Club, Inc."
Corvallis,http://www.ravalligemandmineralclub.org/,Bitterroot Gem & Mineral Society
Bozeman,http://bozemangemandmineralclub.com/,Bozeman Gem and Mineral Club
Missoula,https://www.facebook.com/HellgateMineralSociety/,Hellgate Mineral Society
Kalispell,http://www.kalispellrockhounds.org/,Kalispell Rockhound Club
Lincoln,https://www.lincolngemmineralclub.org/,"Lincoln Gem & Mineral Club, Inc."
Reno,http://cgpgold.org/,Comstock Gold Prospectors
Carson City,http://greatbasingemandmineralclub.rocks/,Great Basin Gem & Mineral Club
Carson City,https://highdesertrockers.wordpress.com/,High Desert Rockers
Pahrump,http://nyegoldseekers.webs.com/,Nye Gold Seekers
Reno,http://www.renorockhounds.com/,Reno Gem and Mineral Society
Las Vegas,http://www.snvgms.org/,Southern Nevada Gem and Mineral Society
Concord,http://www.capitalmineralclub.org/,Capital Mineral Club
Keene,https://sites.google.com/site/keenemineralclub/home,Keene Mineral Club
Conway,http://www.sacovalleygemandmineralclub.org/,Saco Valley Gem and Mineral Club
Dover,https://www.senhmc.org/,Southeastern New Hampshire Mineral Club
Cologne,http://www.capeatlanticrockhounds.com/,Cape Atlantic Rockhounds Inc.
Woodbury,http://www.dvess.org/,Delaware Valley Earth Science Society
Marlboro Township,https://fomnj.wordpress.com/,Friends of Mineralogy - New Jersey Chapter
Morristown,http://morrismuseum.org/mineral-society/,Morris Museum Mineralogical Society
Mountainside,http://www.njmin.org/,"New Jersey Mineralogical Society, Inc"
Paterson,http://www.nojms.webs.com/,"North Jersey Mineralogical Society, Inc."
Albuquerque,http://www.agmc.info/,Albuquerque Gem & Mineral Club
Carlsbad,http://www.carlsbadgms.org/,Carlsbad Gem and Mineral Society
Deming,http://www.thedgms.com/,Deming Gem & Mineral Society
Silver City,http://rollingstonesgms.blogspot.com/,"Grant County Rolling Stones Gem & Mineral Society, Inc."
Los Alamos,http://pweb.netcom.com/~hoffmans/LAGS.html,Los Alamos Geological Society
Buffalo,http://www.bgsny.org/,"Buffalo Geological Society, Inc."
Albany,http://capitaldistrictmineralclub.com/,Capital District Mineral Club
Syracuse,http://www.gmss.us/,"Gem and Mineral Society of Syracuse, Inc."
Bellmore,http://www.islandrockhounds.org/,Island Rockhounds Inc.
Jamesport,http://www.limineralandgeology.com/LiMags/Home.html,Long Island Mineral & Geology Society
Poughkeepsie,http://mhvgms.org/index.html,Mid-Hudson Valley Gem and Mineral Society Inc.
Glen Cove,http://nassaumineralclub.org/,Nassau Mineral Club
NYC,http://www.newyorkmineralogicalclub.org/,New York Mineralogical Club
NYC,http://www.nyps.org/index.htm,New York Paleontological Society
Middletown,http://www.orangecountymineralsocietynewyork.com/,Orange County Mineral Society
Rochester,http://www.rasny.org/,Rochester Academy of Science
Rochester,http://www.rochesterlapidary.org/,Rochester Lapiday Society
Canton,http://stlawrencecountymineralclub.org/,St. Lawrence County Rock & Mineral Club
Bay Shore,http://www.suffolkgem.com/,Suffolk Gem & Mineral Club
Newark,http://www.wcgmc.org/,Wayne County Gem and Mineral Club
Fayetteville,http://www.mercergarden.com/GemClub.html,Cape Fear Mineral & Gem Society
Hickory,http://www.cvgmc.com/,Catawba Valley Gem & Mineral Club
Chapel Hill,http://www.centralncmineralclub.org/,Central North Carolina Mineral Club
Charlotte,http://www.charlottegem.com/,Charlotte Gem & Mineral Club
Winston-Salem,http://www.forsythgemclub.com/fgmcmain.html,Forsyth Gem and Mineral Club
Gastonia,http://gastongemclub.weebly.com/,"Gaston Gem, Mineral and Faceters Club"
Franklin,http://www.fgmm.org/,Gem & Mineral Society of Franklin
Greensboro,http://www.ggmc-rockhounds.com/,Greensboro Gem & Mineral Club
Hendersonville,http://hcgms.com/index.html,Henderson County Gem and Mineral Society
Asheville,http://www.wncrocks.com/magma/magma.html,Mountain Area Gem and Mineral Association (MAGMA)
Raleigh,http://www.ncfossilclub.org/,North Carolina Fossil Club
Asheville,http://www.main.nc.us/sams/,Southern Appalachian Mineral Society
Raleigh,http://www.tarheelclub.org/,Tar Heel Gem & Mineral Club
Bismarck,https://ndrockclub.org/,Central Dakota Gem & Mineral Society
Troy,http://www.bruknergemandmineralclub.com/,Brukner Gem and Mineral Club
Cincinnati,http://mineralsociety.org/,Cincinnati Mineral Society
Columbus,http://www.columbusrockandmineralsociety.org/,Columbus Rock and Mineral Society
Kettering,https://www.facebook.com/The-Dayton-Gem-Mineral-Society-140478502678195/,Dayton Gem & Mineral Society
Cincinnati,http://drydredgers.org/,Dry Dredgers
Loveland,http://cincinnatilapidary.weebly.com/,Greater Cincinati Lapidary and Faceting Society
Cleveland,http://ncfclub.org/,North Coast Fossil Club
Worthington,https://ohiogeosoc.org/,Ohio Geological Society
Cleveland,http://www.parmalapidary.com/,Parma Lapidary Club
Mansfield,http://rlls.webs.com/,Richland Lithic & Lapidary Society
Cuyahoga Falls,http://lapidaryclubofohio.org/,Summit Lapidary Club
Toledo,http://rockyreader.com/,Toledo Gem & Rockhound Club
Ada,http://www.freewebs.com/agmfc/,"Ada Gem, Mineral and Fossil Club"
Enid,http://www.enidgemandmineral.org/,Enid Gem & Mineral Society
Oklahoma City,http://omgs-minerals.org/,Oklahoma Mineral and Gem Society
Shawnee,https://www.facebook.com/Shawnee-Gem-and-Mineral-Society-524175917629452/,Shawnee Gem and Mineral Society
Tulsa,http://www.ttownrockhound.org/,Tulsa Rock and Mineral Society
Tahlequah,http://tramsok.webs.com/,Tahlequah Rock and Mineral Society
Redmond,https://corockcollectors.com/,Central Oregon Rock Collectors
Oregon City,http://www.clackamettegem.org/,Clackamette Mineral and Gem Club
Portland/West Linn,http://facetersguild.com/,Columbia-Willamette Faceters' Guild
North Bend,http://www.farwestlapidary.org/,FarWest Lapidary & Gem Society
Hermiston,http://jall23.wixsite.com/hatrockhounds,Hatrockhounds Gem and Mineral Society
Portland,http://www.millenniumdiggers.com/,Millennium Diggers Club
Gresham,https://mthoodrockclub.wordpress.com/,Mt Hood Rock Club
Hillsboro,http://narg-online.com/,North American Research Group
Portland,http://www.oregonagate.org/,"Oregon Agate & Mineral Society, Inc."
Newport,http://www.coastagates.org/,Oregon Coast Agate Club
Prineville,http://prineville.rocks/,Prineville Rockhound Pow-Wow Assoc.
Klamath Falls,http://www.klamathrockclub.org/,Rock and Arrowhead Club of Klamath Falls
Springfield,http://thundereggrockclub.blogspot.com/,Springfield Thunderegg Rock Club
Forest Grove,https://tvrgc.org/,Tualatin Valley Gem Club
Salem,http://www.wamsi.net/,"Willamette Agate and Mineral Society, Inc."
Harrisburg,http://www.rockandmineral.org/,"Central Pennsylvania Rock and Mineral Club, Inc."
Sayre,http://www.chehannarocks.com/,"Che-Hanna Rock and Mineral Club, Inc."
